"McCabe ""design complexity”",unique operators,defects
1.4,1.2,False
1.0,1.0,True
3.0,15.0,False
2.0,16.0,False
2.0,16.0,False
2.0,16.0,False
1.0,4.0,False
2.0,10.0,False
5.0,15.0,False
1.0,15.0,False
1.0,19.0,False
1.0,9.0,False
1.0,17.0,False
1.0,14.0,False
2.0,22.0,False
2.0,19.0,False
1.0,14.0,False
1.0,8.0,False
2.0,12.0,False
1.0,8.0,False
1.0,10.0,False
1.0,7.0,False
1.0,6.0,False
1.0,11.0,False
1.0,12.0,False
1.0,4.0,False
1.0,5.0,False
1.0,15.0,False
1.0,19.0,False
23.0,45.0,False
3.0,15.0,False
46.0,69.0,False
10.0,36.0,False
1.0,13.0,False
3.0,14.0,False
3.0,18.0,False
3.0,13.0,False
4.0,15.0,False
6.0,17.0,False
3.0,19.0,False
4.0,15.0,False
4.0,21.0,False
2.0,16.0,False
3.0,21.0,False
6.0,24.0,False
8.0,17.0,False
1.0,7.0,False
4.0,13.0,False
1.0,4.0,False
7.0,20.0,False
10.0,25.0,False
4.0,12.0,False
2.0,18.0,False
5.0,21.0,False
5.0,12.0,False
1.0,11.0,False
1.0,16.0,False
1.0,6.0,False
3.0,17.0,False
5.0,22.0,False
5.0,18.0,False
3.0,15.0,False
3.0,15.0,False
1.0,10.0,False
1.0,7.0,False
2.0,17.0,False
1.0,14.0,False
8.0,25.0,False
1.0,21.0,False
2.0,21.0,False
1.0,16.0,False
1.0,19.0,False
1.0,11.0,False
5.0,26.0,False
1.0,7.0,False
3.0,12.0,False
2.0,11.0,False
1.0,11.0,False
2.0,14.0,False
3.0,25.0,False
4.0,23.0,False
1.0,4.0,False
3.0,20.0,False
1.0,5.0,False
1.0,9.0,False
1.0,9.0,False
1.0,9.0,False
1.0,5.0,False
2.0,16.0,False
1.0,9.0,False
1.0,9.0,False
1.0,7.0,False
1.0,8.0,False
3.0,17.0,False
1.0,7.0,False
5.0,15.0,False
1.0,5.0,False
1.0,6.0,False
1.0,7.0,False
1.0,12.0,False
1.0,9.0,False
1.0,11.0,False
27.0,34.0,False
4.0,15.0,False
6.0,12.0,False
2.0,23.0,False
1.0,15.0,False
1.0,15.0,False
1.0,17.0,False
1.0,5.0,False
1.0,6.0,False
1.0,4.0,False
6.0,35.0,False
9.0,36.0,False
3.0,17.0,False
2.0,16.0,False
2.0,15.0,False
3.0,12.0,False
13.0,36.0,False
13.0,46.0,False
1.0,11.0,False
5.0,25.0,False
1.0,5.0,False
2.0,17.0,False
3.0,16.0,False
4.0,17.0,False
20.0,29.0,False
7.0,21.0,False
1.0,4.0,False
1.0,4.0,False
1.0,19.0,False
1.0,4.0,False
1.0,4.0,False
1.0,4.0,False
1.0,4.0,False
2.0,17.0,False
2.0,17.0,False
1.0,5.0,False
1.0,16.0,False
6.0,31.0,False
1.0,4.0,False
